id,ancien_nom,nouveau_nom,categorie,image
cat-34,VT 70,VT 70 — Etat d'origine (mme livre qu'AKN),wagon,img/catalog/A_P/GKB_VT70_R.gif
cat-35,VT 70,VT 70 — Modernisation lgre (nouvelles baies),wagon,img/catalog/A_P/GKB_VT70_R.gif
cat-36,5063,5063 — GTW 2/8 — GTW2/8 diesel,wagon,img/catalog/A_P/composed/5063_GTW2_8_diesel__13_lments_numrots_5062_00.png
cat-37,5063,5063 — GTW 2/8 — Livre S-Bahn Steiermark pour le 5063 008,wagon,img/catalog/A_P/composed/5063_Livre_S-Bahn_Steiermark_pour_le_5063_008.png
cat-38,ET 22.106/7,ET 22.106/7 — LILO / LLB — Livre d'origine mais avec logo LLB,wagon,img/catalog/A_P/LLB_ET22_106.gif
cat-39,ET 22.106/7,ET 22.106/7 — LILO / LLB — Livre Lilo,wagon,img/catalog/A_P/Lilo_ET22_106_L2.gif
cat-40,ET 22.150,ET 22.150 — LILO / LLB — Livre Lilo standard,wagon,img/catalog/A_P/Lilo_GTW26_R.gif
cat-41,ET 22.150,"ET 22.150 — LILO / LLB — Livre S-Bahn Obersterreich, au moins pour l'ET 22.157",wagon,img/catalog/A_P/Lilo_GTW26_SOO_R.gif
cat-44,1216,"1216 — Locomotives lectriques — 1216 940 livre en 2008, numrotation interne 91",locomotive,img/catalog/A_P/SLB_1216_L1_R.gif
cat-45,1216,1216 — Locomotives lectriques — Logo actuel,locomotive,img/catalog/A_P/SLB_1216_L2_R.gif
cat-46,2048,"2048 — Locomotives Diesel — 5 anciennes BB 2048 (ex DB 211), numrotation…",locomotive,img/catalog/A_P/SLB_2048_L1_R.gif
cat-47,2048,2048 — Locomotives Diesel — Logo actuel,locomotive,img/catalog/A_P/SLB_2048_L2_R.gif
cat-48,ES 64 U2,"ES 64 U2 — Locomotives lectriques — Loues Siemens Dispolok, se distinguent par une…",locomotive,img/catalog/A_P/WLB_ES64U2_DL_R.gif
cat-49,ES 64 U2,"ES 64 U2 — Locomotives lectriques — Nouvelle raison sociale ""Wiener Lokalbahnen…",locomotive,img/catalog/A_P/WLC_ES64U2_DL_R.gif
cat-50,ES 64 U2,ES 64 U2 — Locomotives lectriques — ES 64 U2-035 se distinguant par l'apposition…,locomotive,img/catalog/A_P/WLB_ES64U2_DLKN_R.gif
cat-51,1216,1216 — Locomotives lectriques — 1216 950 953 (les 954 et 5 ont des livres…,locomotive,img/catalog/A_P/WLB_1216_R.gif
cat-52,1216,"1216 — Locomotives lectriques — Nouvelle raison sociale ""Wiener Lokalbahnen…",locomotive,img/catalog/A_P/WLC_1216_R.gif
cat-53,Vectron,Vectron — Locomotives lectriques — Une unit acquise en propre en 2013,locomotive,img/catalog/A_P/WLC_193_2P_R.gif
cat-54,Vectron,Vectron — Locomotives lectriques — Loue MRCE,locomotive,img/catalog/A_P/WLC_193_2P_MRCE_R.gif
cat-57,Post-m 100  119,"Post-m 100 119 — Voitures postales — 26,40m, type 1965",wagon,img/catalog/OBB/Post/OPost_Postm100_J2_R.gif
cat-58,Post-m 100  119,"Post-m 100 119 — Voitures postales — Dernire livre, sur le modle des ""Komfort Stufe 1""…",wagon,img/catalog/OBB/Post/OPost_Postm100_KSP_R.gif
cat-60,Post-m 200  209,"Post-m 200 209 — Voitures postales — 26,40m, type 1973",wagon,img/catalog/OBB/Post/OPost_Postm200_V_R.gif
cat-61,Post-m 200  209,"Post-m 200 209 — Voitures postales — Livre ""Jaffa""",wagon,img/catalog/OBB/Post/OPost_Postm200_J2_R.gif
cat-65,1216 / 183,1216 / 183 — Livre Steiermarkbahn initiale,locomotive,img/catalog/A_P/StB_1216_R.gif
cat-66,1216 / 183,1216 / 183 — Nouvelle livre blanche StB,locomotive,img/catalog/A_P/StB_183_L2_R.gif
cat-67,1142,1142 — Nouvelle livre blanche StB,locomotive,img/catalog/A_P/StB_1142_3S_L2.gif
cat-68,189,189 — Livre Steiermarkbahn,locomotive,img/catalog/A_P/StB_189.gif
cat-69,Gmeinder D110BB,Gmeinder D110BB — Livre de la D4,locomotive,img/catalog/A_P/StLB_D110BB_L1_R.gif
cat-70,Gmeinder D110BB,Gmeinder D110BB — Livre des D5 et D6,locomotive,img/catalog/A_P/StLB_D110BB_L2_R.gif
cat-71,Gmeinder D110BB,Gmeinder D110BB — Nouvelle livre blanche StB,locomotive,img/catalog/A_P/StB_D110BB_R.gif
cat-72,2016,2016 — 2016 / 1233 — Livre d'origine des 2016 901 et 902,locomotive,img/catalog/A_P/StB_2016_R.gif
cat-73,2016 / 1223,2016 / 1223 — 2016 / 1233 — Livre initiale Steiermarkbahn de la 1223 004,locomotive,img/catalog/A_P/StB_1223_R.gif
cat-74,2016 / 1223,2016 / 1223 — 2016 / 1233 — Nouvelle livre blanche StB,locomotive,img/catalog/A_P/StB_1223_L2_R.gif
cat-75,2048,"2048 — V100 DB — 2048.024 (ex DB 211, ex BB 2048), livre chassis rouge",locomotive,img/catalog/A_P/StB_2048_L1_R.gif
cat-76,2048,"2048 — V100 DB — 2048.035 (ex DB 211, ex BB 2048), livre chassis noir et…",locomotive,img/catalog/A_P/StB_2048_L2_R.gif
cat-77,212,"212 — V100 DB — 212 831 (ex DB), livre chassis noir et emblme de lion en gros…",locomotive,img/catalog/A_P/StB_212_L2_R.gif
cat-80,ET 15,ET 15 — Livre SZU conserve,wagon,img/catalog/A_P/StLB_ET15_L1_R.gif
cat-81,ET 15,ET 15 — Etat aprs remise en service en 2011 (nouveaux logos),wagon,img/catalog/A_P/StLB_ET15_L2_R.gif
cat-86,4062,4062 — GTW lectriques — Livre StLB initiale,wagon,img/catalog/A_P/StLB_4062_R.gif
cat-87,4062,4062 — GTW lectriques — Nouvelle livre StB (2018),wagon,img/catalog/A_P/StB_4062_R.gif
cat-88,5062,5062 — GTW Diesel — Livre StLB initiale,locomotive,img/catalog/A_P/StLB_5062_R.gif
cat-89,5062,5062 — GTW Diesel — Livre S-Bahn Steiermark pour le 5062 003,locomotive,img/catalog/A_P/StLB_5062_SSt_R.gif
cat-90,5062,5062 — GTW Diesel — Nouvelle livre StB (2018),locomotive,img/catalog/A_P/StB_5062_R.gif
cat-91,EB 22,"EB 22 — EB22 — Livre initiale, assortie l'ET 13",wagon,img/catalog/A_P/StLB_EB22_L1.gif
cat-92,EB 22,EB 22 — EB22 — Livre vert blanc rouge StLB,wagon,img/catalog/A_P/StLB_EB22_L2.gif
cat-94,B,B — Voitures CFF lgres — 2me classe : B 36 38,wagon,img/catalog/A_P/StLB_L_B.gif
cat-95,BS,BS — Voitures CFF lgres — Voiture pilote de 2me classe : BS 35,wagon,img/catalog/A_P/StLB_L_BS_L.gif
cat-97,Eaos 5303,Eaos 5303 — Tombereaux (E) — Livre StLB,wagon,img/catalog/A_P/StLB_Eaos5303.gif
cat-102,4010.1,"4010.1 — Kiss 1 — Caisses d'extrmit, 2me classe [Westbahn_4010_1_L1]",wagon,img/catalog/A_P/Westbahn_4010_1_L1_R.gif
cat-103,4010.2,4010.2 — Kiss 1 — Caisses intermdiaire 2me classe [Westbahn_4010_2_L1],wagon,img/catalog/A_P/Westbahn_4010_2_L1_R.gif
cat-104,4010.3,4010.3 — Kiss 1 — Caisses intermdiaire 2me classe [Westbahn_4010_3_L1],wagon,img/catalog/A_P/Westbahn_4010_3_L1_R.gif
cat-105,4010.4,4010.4 — Kiss 1 — Caisses intermdiaire 2me classe accessible aux PMR [Westbahn_4010_4_L1],wagon,img/catalog/A_P/Westbahn_4010_4_L1_R.gif
cat-106,4010.5,4010.5 — Kiss 1 — Caisses intermdiaire 2me classe [Westbahn_4010_5_L1],wagon,img/catalog/A_P/Westbahn_4010_5_L1_R.gif
cat-107,4010.6,"4010.6 — Kiss 1 — Caisses d'extrmit, 1re classe (appele ""Plus"") [Westbahn_4010_6_L1]",wagon,img/catalog/A_P/Westbahn_4010_6_L1_R.gif
cat-108,4010.1,4010.1 — Kiss 1 — Livre plus colore identique celle de la 2me gnration applique…,wagon,img/catalog/A_P/Westbahn_4010_1_L2_R.gif
cat-109,4010.2,4010.2 — Kiss 1 — Caisses intermdiaire 2me classe [Westbahn_4010_2_L2],wagon,img/catalog/A_P/Westbahn_4010_2_L2_R.gif
cat-110,4010.3,4010.3 — Kiss 1 — Caisses intermdiaire 2me classe [Westbahn_4010_3_L2],wagon,img/catalog/A_P/Westbahn_4010_3_L2_R.gif
cat-111,4010.4,4010.4 — Kiss 1 — Caisses intermdiaire 2me classe accessible aux PMR [Westbahn_4010_4_L2],wagon,img/catalog/A_P/Westbahn_4010_4_L2_R.gif
cat-112,4010.5,4010.5 — Kiss 1 — Caisses intermdiaire 2me classe [Westbahn_4010_5_L2],wagon,img/catalog/A_P/Westbahn_4010_5_L2_R.gif
cat-113,4010.6,"4010.6 — Kiss 1 — Caisses d'extrmit, 1re classe (appele ""Plus"") [Westbahn_4010_6_L2]",wagon,img/catalog/A_P/Westbahn_4010_6_L2_R.gif
cat-114,4010.1 / 4110.1,"4010.1 / 4110.1 — Kiss 2 — Caisses d'extrmit, 2me classe [Westbahn_4110_1]",wagon,img/catalog/A_P/Westbahn_4110_1_R.gif
cat-115,4010.2,4010.2 — Kiss 2 — Caisse intermdiaire 2me classe pour la rame 6 caisses,wagon,img/catalog/A_P/Westbahn_4010_008_2_R.gif
cat-116,4010.3,4010.3 — Kiss 2 — Caisse intermdiaire 2me classe pour la rame 6 caisses,wagon,img/catalog/A_P/Westbahn_4010_008_3_R.gif
cat-117,4010.4,4010.4 — Kiss 2 — Caisse intermdiaire 2me classe accessible aux PMR pour la rame…,wagon,img/catalog/A_P/Westbahn_4010_008_4_R.gif
cat-119,4010.5 / 4110.5,4010.5 / 4110.5 — Kiss 2 — Caisses intermdiaire 2me classe [Westbahn_4110_5],wagon,img/catalog/A_P/Westbahn_4110_5_R.gif
cat-120,4010.6 / 4110.6,"4010.6 / 4110.6 — Kiss 2 — Caisses d'extrmit, 1re classe (appele ""Plus"")",wagon,img/catalog/A_P/Westbahn_4110_6_R.gif
cat-122,27000,"27000 — Prima électriques — Prima 1,5 / 25 KV ex SNCF",locomotive,img/catalog/Loueurs/Akiem_27000_R.gif
cat-123,27000,27000 — Prima électriques — Livrée spécifique Akiem,locomotive,img/catalog/Loueurs/Akiem_27000_Ak_R.gif
cat-124,27000,27000 — Prima électriques — 27159 anciennement louée à ECR,locomotive,img/catalog/Loueurs/Akiem_27000_ExECR_R.gif
cat-125,37000,"37000 — Prima électriques — Prima 1,5 / 15 / 25 KV ex SNCF",locomotive,img/catalog/Loueurs/Akiem_37000_R.gif
cat-126,37000,37000 — Prima électriques — Livrée spécifique Akiem,locomotive,img/catalog/Loueurs/Akiem_37000_Ak_R.gif
cat-127,E37500,"E37500 — Prima électriques — Prima 1,5 / 15 / 25 KV ex Veolia / Europorte, en…",locomotive,img/catalog/Loueurs/Akiem_E37500_ExEuroporte_R.gif
cat-128,E37500,"E37500 — Prima électriques — Livrée spécifique, avec apposition des berlingots…",locomotive,img/catalog/Loueurs/Akiem_E37500_AkExEuroporte_R.gif
cat-129,E37500,"E37500 — Prima électriques — Prima 1,5 / 15 / 25 KV ex Veolia en livrée blanche",locomotive,img/catalog/Loueurs/Akiem_E37500_B_R.gif
cat-130,75000,75000 — Prima Diesel — Prima Diesel ex SNCF [Akiem_75000],locomotive,img/catalog/Loueurs/Akiem_75000_R.gif
cat-131,75000,75000 — Prima Diesel — Prima Diesel ex SNCF [Akiem_75000_TSO],locomotive,img/catalog/Loueurs/Akiem_75000_TSO_R.gif
cat-132,185,"185 — Traxx AC2 — Configuration 15 / 25 KV, habilitée D/A/CH",locomotive,img/catalog/Loueurs/Akiem_185_2S4P_Ak_R.gif
cat-133,186,186 — Traxx MS2e — Livrée grise neutre avec petit logo Akiem,locomotive,img/catalog/Loueurs/Akiem_186_4P_L1_R.gif
cat-134,483,483 — Traxx DC — Livrée spécifique Akiem,locomotive,img/catalog/Loueurs/Akiem_483_Ak_R.gif
cat-135,483,483 — Traxx DC — Exemplaires ex Mercitalia (483 014 à 020) restituées à Akiem,locomotive,img/catalog/Loueurs/Akiem_483_ExMercitalia_R.gif
cat-136,187,187 — Traxx AC3 — Nouvelle livrée spécifique Akiem appliquée de construction,locomotive,img/catalog/Loueurs/Akiem_187_2P_Ak_R.gif
cat-137,ES 64 F4,ES 64 F4 — Rapidement repeintes en livrée Akiem actuelle,locomotive,img/catalog/Loueurs/Akiem_ES64F4_Ak.gif
cat-139,77500 (EMD JT42CWRM),77500 (EMD JT42CWRM) — ''Class 66' (EMD JT42CWRM) — 77501 à 3 initialement prévues pour Veolia,locomotive,img/catalog/Loueurs/Akiem_77500_RB_R.gif
cat-140,77500 (EMD JT42CWRM),77500 (EMD JT42CWRM) — ''Class 66' (EMD JT42CWRM) — 77504 à 6 initialement prévues pour…,locomotive,img/catalog/Loueurs/Akiem_77500_G_R.gif
cat-141,Y 8000,Y 8000 — Locotracteurs — Ex SNCF,locomotive,img/catalog/Loueurs/Akiem_Y8000_R.gif
cat-142,145-CL,"145-CL — Bombardier Traxx — 145-CL 005, anciennement Rail4Chem",locomotive,img/catalog/Loueurs/AT_145CL_exR4C.gif
cat-143,145-CL,"145-CL — Bombardier Traxx — 145-CL 031, anciennement TXLogistic / NetLog",locomotive,img/catalog/Loueurs/AT_145CL_exNetLog.gif
cat-144,145-CL,"145-CL — Bombardier Traxx — 45-CL 201 à 204, anciennement RAG / RBH",locomotive,img/catalog/Loueurs/AT_145CL_exRAG.gif
cat-145,145-CL,145-CL — Bombardier Traxx — La 145-CL 031 est la première locomotive repeinte…,locomotive,img/catalog/Loueurs/AT_145CL_Alpha.gif
cat-146,185.1,185.1 — Bombardier Traxx — Livrée 'Angel Trains' à bouts bleus,locomotive,img/catalog/Loueurs/AT_185_1S_B_R.gif
cat-147,185.1,"185.1 — Bombardier Traxx — 185-CL 008 et 009 ex RAG, livrée RAG sans logo",locomotive,img/catalog/Loueurs/AT_185_1S_exRAG_R.gif
cat-148,185.2,185.2 — Bombardier Traxx — Livrée 'Angel Trains' à bouts verts,locomotive,img/catalog/Loueurs/AT_185_2S_V_R.gif
cat-149,185.2,185.2 — Bombardier Traxx — Nouvelles couleurs Alpha Trains,locomotive,img/catalog/Loueurs/AT_185_2S_Alpha_R.gif
cat-150,E 186,E 186 — Bombardier Traxx — Livrée 'Angel Trains' à bouts verts,locomotive,img/catalog/Loueurs/AT_E186_V_R.gif
cat-151,E 483,E 483 — Bombardier Traxx — Locomotives à courant continu pour l'Italie,locomotive,img/catalog/Loueurs/AT_E483_V_R.gif
cat-152,193,193 — Siemens Vectron — Livrée 'Angel Trains' à bouts verts pour les 193 550…,locomotive,img/catalog/Loueurs/AT_193_R.gif
cat-153,193,193 — Siemens Vectron — Livrée totalement blanche pour les 193 582 à 586,locomotive,img/catalog/Loueurs/AT_193_W_R.gif
cat-154,G 1000,G 1000 — Vossloh G 1000 — Livrée bleu et blanc,locomotive,img/catalog/Loueurs/AT_G1000_B_R.gif
cat-155,G 1000,"G 1000 — Vossloh G 1000 — Ex CFF, livrée Cargo conservée sans logo",locomotive,img/catalog/Loueurs/AT_G1000_exCFF_R.gif
cat-156,G 1206 BB,G 1206 BB — Vossloh G 1206 BB — Livrée vert et blanc,locomotive,img/catalog/Loueurs/AT_G1206_V_R.gif
cat-157,G 1206 BB,"G 1206 BB — Vossloh G 1206 BB — G1206 Vossloh à moteur Caterpillar, climatisées",locomotive,img/catalog/Loueurs/AT_G1206_CC_B_R.gif
cat-158,G 1206 BB,G 1206 BB — Vossloh G 1206 BB — Locomotives ex Locomotion Capital : livrée rouge,locomotive,img/catalog/Loueurs/AT_G1206_C_LC_R.gif
cat-159,G 1206 BB,G 1206 BB — Vossloh G 1206 BB — Locomotives ex Locomotion Capital : livrée Alpha…,locomotive,img/catalog/Loueurs/AT_G1206_C_Alpha_R.gif
cat-162,G2000,G2000 — Vossloh G 2000 — G2000 du premier type (cabines dissymétriques),locomotive,img/catalog/Loueurs/AT_G2000_1S_BG_R.gif
cat-163,G2000,G2000 — Vossloh G 2000 — Livrée bleu et blanc pour les derniers exemplaires,locomotive,img/catalog/Loueurs/AT_G2000_1S_BW_R.gif
cat-164,G2000,G2000 — Vossloh G 2000 — Séries suivantes avec cabine large [AT_G2000_V],locomotive,img/catalog/Loueurs/AT_G2000_V_R.gif
cat-165,G2000,G2000 — Vossloh G 2000 — Séries suivantes avec cabine large [AT_G2000_B],locomotive,img/catalog/Loueurs/AT_G2000_B_R.gif
cat-167,Desiro,Desiro — Au moins 6 exemplaires en livrée blanche,wagon,img/catalog/Loueurs/AT_Desiro_R.gif
cat-171,ABDe 4/8 746  748,ABDe 4/8 746 748 — Livre bleu et beige d'origine,wagon,img/catalog/Suisse/BLS/A/composed/ABDe_4_8_746__748_Livre_bleu_et_beige_d_origine.png
cat-172,ABDe 4/8 746  748,ABDe 4/8 746 748 — Pantographe unijambiste,wagon,img/catalog/Suisse/BLS/A/composed/ABDe_4_8_746__748_Pantographe_unijambiste.png
cat-178,Be 4/4 761 et 762,Be 4/4 761 et 762 — Be 4/4 761 763 — Logo BLS en fin de carrire pour les 761 et 762,wagon,img/catalog/Suisse/BLS/A/BLS_Be44_760_V_R.gif
cat-179,RBDe 565,RBDe 565 — RBDe 565 et 566 II — Livre bleu - crme d'origine,automotrice,img/catalog/Suisse/BLS/A/BLS_RBDe565_BC2_R.gif
cat-180,ABt BLS,"ABt BLS — RBDe 565 et 566 II — Les ABt BLS ont 9 traves de siges, la premire…",wagon,img/catalog/Suisse/BLS/A/BLS_ABt960_BC2_R.gif
cat-181,RBDe 565,RBDe 565 — RBDe 565 et 566 II — Logo Ltschbergsbahn,automotrice,img/catalog/Suisse/BLS/A/BLS_RBDe565_BC3_R.gif
cat-182,ABt BLS,ABt BLS — RBDe 565 et 566 II — Logo Ltschbergsbahn,wagon,img/catalog/Suisse/BLS/A/BLS_ABt960_BC3_R.gif
cat-183,RBDe 565,RBDe 565 — RBDe 565 et 566 II — Logo Ltschbergsbahn et logo du S-Bahn de Berne,automotrice,img/catalog/Suisse/BLS/A/BLS_RBDe565_BC3S_R.gif
cat-184,ABt BLS,ABt BLS — RBDe 565 et 566 II — Logo Ltschbergsbahn et logo du S-Bahn de Berne,wagon,img/catalog/Suisse/BLS/A/BLS_ABt960_BC3S_R.gif
cat-185,RBDe 565,RBDe 565 — RBDe 565 et 566 II — Livre BLS premier logo,automotrice,img/catalog/Suisse/BLS/A/BLS_RBDe565_L1S_R.gif
cat-186,ABt BLS,ABt BLS — RBDe 565 et 566 II — Livre BLS premier logo,wagon,img/catalog/Suisse/BLS/A/BLS_ABt960_L1S_R.gif
cat-188,ABt BLS,ABt BLS — RBDe 565 et 566 II — Livre BLS logo actuel,wagon,img/catalog/Suisse/BLS/A/BLS_ABt960_L2S_R.gif
cat-189,ABt RM,"ABt RM — RBDe 565 et 566 II — Les ABt ex RM ont 10 traves de siges, la premire…",wagon,img/catalog/Suisse/BLS/A/BLS_ABt930_L2S_R.gif
cat-191,RBDe 566 II,RBDe 566 II — RBDe 565 et 566 II — Livre RM conserve,automotrice,img/catalog/Suisse/BLS/A/BLS_RBDe566II_RM_R.gif
cat-192,ABt RM,ABt RM — RBDe 565 et 566 II — Livre RM conserve,wagon,img/catalog/Suisse/BLS/A/BLS_ABt930_RM_R.gif
cat-193,ABt RM,ABt RM — RBDe 565 et 566 II — Livre spcifique pour la ABt 940,wagon,img/catalog/Suisse/BLS/A/BLS_ABt930_RMX_R.gif
cat-194,RBDe 566 II,RBDe 566 II — RBDe 565 et 566 II — Livre BLS lgrement diffrente pour la RBDe 566 237,automotrice,img/catalog/Suisse/BLS/A/BLS_RBDe566II_L2XS_R.gif
cat-195,ABt RM,ABt RM — RBDe 565 et 566 II — Livre BLS lgrement diffrente pour la ABt 937,wagon,img/catalog/Suisse/BLS/A/BLS_ABt930_L2XS_R.gif
cat-196,RBDe 566 II,RBDe 566 II — RBDe 565 et 566 II — Nouvelle livre pour la RBDe 566 237,automotrice,img/catalog/Suisse/BLS/A/BLS_RBDe566II_L3XS_R.gif
cat-197,ABt RM,ABt RM — RBDe 565 et 566 II — Nouvelle livre pour la ABt 937,wagon,img/catalog/Suisse/BLS/A/BLS_ABt930_L3XS_R.gif
cat-198,NINA 3 caisses,NINA 3 caisses — RABe 525 NINA — Livre initiale applique la premire srie (01 08),wagon,img/catalog/Suisse/BLS/A/composed/NINA_3_caisses_Livre_initiale_applique__la_premire_srie.png
cat-199,NINA 3 caisses,NINA 3 caisses — RABe 525 NINA — Livre des sries suivantes,wagon,img/catalog/Suisse/BLS/A/composed/NINA_3_caisses_Livre_des_sries_suivantes.png
cat-200,NINA 3 caisses,"NINA 3 caisses — RABe 525 NINA — Nouveau logo BLS, ajout d'un WC et de la climatisation",wagon,img/catalog/Suisse/BLS/A/composed/NINA_3_caisses_Nouveau_logo_BLS__ajout_d_un_WC_et_de_la.png
cat-202,NINA 3 caisses,NINA 3 caisses — RABe 525 NINA — Aprs rvision gnrale,wagon,img/catalog/Suisse/BLS/A/composed/NINA_3_caisses_Aprs_rvision_gnrale__Transfert_de_la_1re.png
cat-203,NINA 3 caisses,"NINA 3 caisses — RABe 525 NINA — RABe 525 038, ex TRN",wagon,img/catalog/Suisse/BLS/A/composed/NINA_3_caisses_RABe_525_038__ex_TRN__Livre_blanche_fais.png
cat-204,GTW 2/6,GTW 2/6 — RABe 526 : GTW 2/6 et 2/8 — GTW2/6,wagon,img/catalog/Suisse/BLS/A/composed/GTW_2_6_GTW2_6__Numros__RABe_526_260__265__et_li.png
cat-205,GTW 2/8,GTW 2/8 — RABe 526 : GTW 2/6 et 2/8 — GTW2/8,wagon,img/catalog/Suisse/BLS/A/composed/GTW_2_8_GTW2_8__Numros__RABe_526_280__286__compl.png
cat-210,Re 4/4,Re 4/4 — Live brune [BN_Re44_1S],automotrice,img/catalog/Suisse/BLS/L/BN_Re44_1S_R.gif
cat-213,Be 4/4 761 et 762,Be 4/4 761 et 762 — Be 4/4 — Livre verte,wagon,img/catalog/Suisse/BLS/A/BN_Be44_760_V_R.gif
cat-214,RBDe 4/4,"RBDe 4/4 — 5 exemplaires : RBDe 4/4 730, 737, 738, 741 et 742",automotrice,img/catalog/Suisse/BLS/A/BN_RBDe565_BC2_R.gif
cat-215,B,B — RBDe 4/4 — 3 exemplaires : B 790 792,wagon,img/catalog/Suisse/BLS/V/BN_B20_33700_BC2.gif
cat-216,ABt,ABt — RBDe 4/4 — 5 exemplaires : Bt 992 996,wagon,img/catalog/Suisse/BLS/A/BN_ABt960_BC2_R.gif
cat-217,RBDe 4/4,RBDe 4/4 — Dernier logo BN,automotrice,img/catalog/Suisse/BLS/A/BN_RBDe565_BC3_R.gif
cat-218,B,B — RBDe 4/4 — Dernier logo BN,wagon,img/catalog/Suisse/BLS/V/BN_B20_33700_BC3.gif
cat-219,ABt,ABt — RBDe 4/4 — Dernier logo BN,wagon,img/catalog/Suisse/BLS/A/BN_ABt960_BC3_R.gif
cat-220,Bi,Bi — Voitures anciennes — Permire srie du type lger plateformes ouvertes… [BN_Bi44_V],wagon,img/catalog/Suisse/BLS/V/BN_Bi44_V_R.gif
cat-221,ABi,ABi — Voitures anciennes — Type lger plateformes ouvertes construit entre… [BN_ABi_V],wagon,img/catalog/Suisse/BLS/V/BN_ABi_V_R.gif
cat-222,Bi,Bi — Voitures anciennes — Type lger plateformes ouvertes construit entre… [BN_Bi_V],wagon,img/catalog/Suisse/BLS/V/BN_Bi_V_R.gif
cat-223,D2,D2 — Voitures anciennes — Fourgons essieux [BN_D2_V],wagon,img/catalog/Suisse/BLS/V/BN_D2_V_R.gif
cat-224,AB,AB — Voitures type VU I — 1re / 2me classes [BN_EWI_S_V_AB],wagon,img/catalog/Suisse/BLS/V/BN_EWI_S_V_AB_R.gif
cat-225,AB,AB — Voitures type VU I — 1re / 2me classes [BN_EWI_AB_BC2],wagon,img/catalog/Suisse/BLS/V/BN_EWI_AB_BC2_R.gif
cat-226,AB,AB — Voitures type VU I — Dernier logo BN,wagon,img/catalog/Suisse/BLS/V/BN_EWI_AB_BC3_R.gif
cat-227,B,B — Voitures type VU I — Deuxime classe [BN_EWI_BC1_B],wagon,img/catalog/Suisse/BLS/V/BN_EWI_BC1_B.gif
